"Hora del día","Frecuencia","Porcentaje","Porcentaje_Acumulado"
19,12136,6.294,6.294
18,11636,6.034,12.328
20,11336,5.879,18.207
21,11044,5.727,23.934
22,10638,5.517,29.451
13,9637,4.998,34.449
12,9595,4.976,39.425
23,9452,4.902,44.327
14,9443,4.897,49.224
17,9372,4.86,54.084
15,9245,4.795,58.879
11,9058,4.698,63.577
9,9005,4.67,68.247
8,8788,4.558,72.805
10,8659,4.491,77.296
16,7983,4.14,81.436
0,7581,3.932,85.368
7,6983,3.621,88.989
1,5683,2.947,91.936
2,4258,2.208,94.144
6,3995,2.072,96.216
3,3137,1.627,97.843
4,2278,1.181,99.024
5,1883,0.977,100.001
