"Hora del día","Frecuencia","Porcentaje","Porcentaje_Acumulado"
19,12604,6.302,6.302
18,12072,6.036,12.338
20,11755,5.878,18.216
21,11446,5.723,23.939
22,11023,5.512,29.451
13,10023,5.012,34.463
12,9923,4.962,39.425
23,9804,4.902,44.327
17,9758,4.879,49.206
14,9749,4.875,54.081
15,9614,4.807,58.888
11,9420,4.71,63.598
9,9339,4.67,68.268
8,9075,4.538,72.806
10,8943,4.472,77.278
16,8312,4.156,81.434
0,7842,3.921,85.355
7,7230,3.615,88.97
1,5908,2.954,91.924
2,4422,2.211,94.135
6,4139,2.07,96.205
3,3255,1.628,97.833
4,2365,1.183,99.016
5,1966,0.983,99.999
